pmid,title,authors,journal,pub_date,doi,abstract,article_type
41211943,A Phase 2 Trial of Tobevibart plus Elebsiran in Hepatitis D.,"Asselah Tarik, Chattergoon Michael A, Jucov Alina, Streinu-Cercel Anca, Lampertico Pietro",The New England journal of medicine,2025 11,10.1056/NEJMoa2508827,Both tobevibart (a monoclonal antibody) and elebsiran (a small interfering RNA) target hepatitis B virus surface antigen (HBsAg). Their efficacy and safety in the treatment of chronic hepatitis D virus (HDV) infection are unknown.,Correspondence
41211931,Antithrombotic Therapy after Successful Catheter Ablation for Atrial Fibrillation.,"Verma Atul, Birnie David H, Jiang Chenyang, Heidb&#xfc;chel Hein, Hindricks Gerhard",The New England journal of medicine,2025 11,10.1056/NEJMoa2509688,Whether successful catheter ablation for atrial fibrillation eliminates the need for long-term oral anticoagulant therapy is unknown.,Original Article
41211929,Sibeprenlimab in IgA Nephropathy - Interim Analysis of a Phase 3 Trial.,"Perkovic Vlado, Trimarchi Hern&#xe1;n, Tesar Vladimir, Lafayette Richard, Wong Muh Geot",The New England journal of medicine,2025 11,10.1056/NEJMoa2512133,"The cytokine A proliferation-inducing ligand (APRIL) is considered a key driver of the pathogenesis of IgA nephropathy. Sibeprenlimab, a humanized IgG2 monoclonal antibody, selectively binds to and inhibits APRIL.",Original Article
41211925,Evolocumab in Patients without a Previous Myocardial Infarction or Stroke.,"Bohula Erin A, Marston Nicholas A, Bhatia Ajay K, De Ferrari Gaetano M, Leiter Lawrence A",The New England journal of medicine,2026 01,10.1056/NEJMoa2514428,"The proprotein convertase subtilisin-kexin type 9 (PCSK9) inhibitor evolocumab reduces the risk of major adverse cardiovascular events (MACE) among patients with a previous myocardial infarction, stroke, or symptomatic peripheral artery disease. The effect of evolocumab on the risk of MACE among patients without a previous myocardial infarction or stroke is unknown.",Original Article
41211918,Olezarsen for Managing Severe Hypertriglyceridemia and Pancreatitis Risk.,"Marston Nicholas A, Bergmark Brian A, Alexander Veronica J, Prohaska Thomas A, Kang Yu Mi",The New England journal of medicine,2025 11,10.1056/NEJMoa2512761,"Patients with severe hypertriglyceridemia have an increased risk of acute pancreatitis. The efficacy and safety of olezarsen, an antisense oligonucleotide targeting apolipoprotein C-III messenger RNA, have not been established in this population.",Original Article
41211917,Therapy for Atrial Fibrillation in Patients with Drug-Eluting Stents.,"Lee Seung-Jun, Yu Hee Tae, Lee Yong-Joon, Lee Sang-Hyup, Heo Jung Ho",The New England journal of medicine,2025 11,10.1056/NEJMoa2512091,"Despite guideline recommendations, evidence for the use of non-vitamin K antagonist oral anticoagulant (NOAC) monotherapy in patients with atrial fibrillation after implantation of a drug-eluting stent remains limited.",Original Article
41201837,Fish-Oil Supplementation and Cardiovascular Events in Patients Receiving Hemodialysis.,"Lok Charmaine E, Farkouh Michael, Hemmelgarn Brenda R, Moist Louise M, Polkinghorne Kevan R",The New England journal of medicine,2026 01,10.1056/NEJMoa2513032,"Cardiovascular disease is the leading cause of death in patients receiving hemodialysis, yet effective preventive therapies remain limited. Supplementation with n-3 polyunsaturated fatty acids, especially eicosapentaenoic acid (EPA) and docosahexaenoic acid (DHA), may have cardiovascular benefits in the general population, but efficacy among patients receiving hemodialysis is uncertain.",Original Article
41196369,A Phase 3 Trial of Atacicept in Patients with IgA Nephropathy.,"Lafayette Richard, Barbour Sean J, Brenner Robert M, Campbell Kirk N, Doan Tom",The New England journal of medicine,2025 11,10.1056/NEJMoa2510198,"IgA nephropathy, the most common primary glomerulopathy worldwide, is a kidney disorder of B-cell origin characterized by mesangial accumulation of IgA-containing immune complexes. In at least 50% of patients, IgA nephropathy leads to kidney failure or death within 10 to 20 years after diagnosis. Atacicept is a native human transmembrane activator and calcium-modulator and cyclophilin-ligand interactor (TACI)-Fc fusion protein that inhibits two key immunoregulatory cytokines - B-cell activating ...",Original Article
41191955,Testosterone for Middle-Aged and Older Men with Hypogonadism. Reply.,"Bhasin Shalender, Snyder Peter J",The New England journal of medicine,2025 11,10.1056/NEJMc2512879,,Correspondence
41191954,Testosterone for Middle-Aged and Older Men with Hypogonadism.,Campodonico Fabio,The New England journal of medicine,2025 11,10.1056/NEJMc2512879,,Correspondence
41191953,Testosterone for Middle-Aged and Older Men with Hypogonadism.,"Jiesisibieke Zhu Liduzi, Schooling C Mary",The New England journal of medicine,2025 11,10.1056/NEJMc2512879,,Correspondence
41191952,Testosterone for Middle-Aged and Older Men with Hypogonadism.,Malozowski Saul,The New England journal of medicine,2025 11,10.1056/NEJMc2512879,,Correspondence
41191951,Vepdegestrant in Advanced Breast Cancer. Reply.,Campone Mario,The New England journal of medicine,2025 11,10.1056/NEJMc2512877,,Correspondence
41191950,Vepdegestrant in Advanced Breast Cancer.,"Shimoi Tatsunori, Yonemori Kan",The New England journal of medicine,2025 11,10.1056/NEJMc2512877,,Correspondence
41191949,Vepdegestrant in Advanced Breast Cancer.,"Trovato Giovanni, Tortora Giampaolo",The New England journal of medicine,2025 11,10.1056/NEJMc2512877,,Correspondence
41191948,Cold Perfusion vs. Static Cold Storage of Deceased-Donor Kidneys - at 10 Years.,"Schutter Rianne, Moers Cyril, Jochmans Ina, Gallinat Anja, Paul Andreas",The New England journal of medicine,2025 11,10.1056/NEJMc2406608,,Correspondence
41191941,Safety and Immunogenicity of an rVSV Lassa Fever Vaccine Candidate.,"Malkin Elissa, Zaric Marija, Kieh Mark, Baden Lindsey R, Fitz-Patrick David",The New England journal of medicine,2025 11,10.1056/NEJMoa2501073,"No vaccine is currently available for Lassa fever, a viral hemorrhagic disease that is estimated to cause thousands of deaths each year in western Africa. A replication-competent recombinant vesicular stomatitis virus-vectored vaccine encoding a Lassa virus (LASV) glycoprotein complex, rVSV&#x394;G-LASV-GPC, has been developed, but data on its safety and immunogenicity are limited.",Correspondence
41191940,Oral Icotrokinra for Plaque Psoriasis in Adults and Adolescents.,"Bissonnette Robert, Soung Jennifer, Hebert Adelaide A, Pink Andrew E, Pinter Andreas",The New England journal of medicine,2025 11,10.1056/NEJMoa2504187,"Icotrokinra, a targeted oral peptide that selectively binds the interleukin-23 receptor, is under investigation for the treatment of plaque psoriasis.",Correspondence
41191939,Ten-Year Survival after Postmastectomy Chest-Wall Irradiation in Breast Cancer.,"Kunkler Ian H, Russell Nicola S, Anderson Niall, Sainsbury Richard, Dixon J Michael",The New England journal of medicine,2025 11,10.1056/NEJMoa2412225,The role of postmastectomy chest-wall irradiation in patients with breast cancer classified as pN1 (with involvement of one to three axillary nodes) or pN0 (pathologically node negative) with additional risk factors is uncertain.,Correspondence
41160841,Donor Hearts for Transplantation after Circulatory Death. Reply.,"Kucera John A, Overbey Douglas M, Turek Joseph W",The New England journal of medicine,2025 10,10.1056/NEJMc2511568,,Correspondence
41160840,Donor Hearts for Transplantation after Circulatory Death. Reply.,"Williams Aaron M, Shah Ashish S",The New England journal of medicine,2025 10,10.1056/NEJMc2511568,,Correspondence
41160839,Donor Hearts for Transplantation after Circulatory Death.,"Bernat James L, Delmonico Francis L, Capron Alexander M",The New England journal of medicine,2025 10,10.1056/NEJMc2511568,,Correspondence
41160838,Donor Hearts for Transplantation after Circulatory Death.,de Meijer Vincent E,The New England journal of medicine,2025 10,10.1056/NEJMc2511568,,Correspondence
41160837,Donor Hearts for Transplantation after Circulatory Death.,"Pradegan Nicola, Zanatta Paolo, Gerosa Gino",The New England journal of medicine,2025 10,10.1056/NEJMc2511568,,Correspondence
41160836,Donor Hearts for Transplantation after Circulatory Death.,"Pocar Marco, Boffini Massimo, Rinaldi Mauro",The New England journal of medicine,2025 10,10.1056/NEJMc2511568,,Correspondence
41160835,Donor Hearts for Transplantation after Circulatory Death.,"Ross Lainie Friedman, Ladin Keren, Flescher Andrew",The New England journal of medicine,2025 10,10.1056/NEJMc2511568,,Correspondence
41160834,As-Needed Albuterol-Budesonide in Mild Asthma. Reply.,"LaForce Craig, Papi Alberto, Bacharier Leonard B",The New England journal of medicine,2025 10,10.1056/NEJMc2511561,,Correspondence
41160833,As-Needed Albuterol-Budesonide in Mild Asthma.,Rolla Giovanni,The New England journal of medicine,2025 10,10.1056/NEJMc2511561,,Correspondence
41160832,Finerenone with Empagliflozin in Chronic Kidney Disease and Type 2 Diabetes. Reply.,"Agarwal Rajiv, Rossing Peter, Mann Johannes F E",The New England journal of medicine,2025 10,10.1056/NEJMc2513088,,Correspondence
41160831,Finerenone with Empagliflozin in Chronic Kidney Disease and Type 2 Diabetes.,"Romagnani Paola, Soler Maria Jose, Fervenza Fernando C",The New England journal of medicine,2025 10,10.1056/NEJMc2513088,,Correspondence
41160830,Finerenone with Empagliflozin in Chronic Kidney Disease and Type 2 Diabetes.,Silver Stephen,The New England journal of medicine,2025 10,10.1056/NEJMc2513088,,Correspondence
41160829,Finerenone with Empagliflozin in Chronic Kidney Disease and Type 2 Diabetes.,"Assil Rim, Hough Augustus",The New England journal of medicine,2025 10,10.1056/NEJMc2513088,,Correspondence
41160827,Two-Year Outcomes after Transcatheter Arterialization of the Deep Veins.,"Shishehbor Mehdi H, Dua Anahita, Powell Richard J, Montero-Baker Miguel F, Mart&#xed;nez-Trabal Jorge L",The New England journal of medicine,2025 10,10.1056/NEJMc2507935,,Correspondence
41160821,"Safety, Efficacy, and Immunogenicity of a Salmonella Paratyphi A Vaccine.","McCann Naina, Paganotti Vicentine Margarete, Ebrahimi Narges, Greenland Melanie, Angus Brian",The New England journal of medicine,2025 10,10.1056/NEJMoa2502992,Salmonella enterica serovar Paratyphi A (also known as S. Paratyphi A) is responsible for more than 2 million cases of enteric fever annually. There are no licensed vaccines against S. Paratyphi A.,Correspondence
41160820,A Randomized Trial of Physical Therapy for Meniscal Tear and Knee Pain.,"Katz Jeffrey N, Collins Jamie E, Bisson Leslie, Jones Morgan H, Irrgang James J",The New England journal of medicine,2025 10,10.1056/NEJMoa2503385,"Physical therapy is routinely recommended for knee pain attributed to a degenerative meniscal tear, but its efficacy has not been established.",Correspondence
41160819,European Study of Prostate Cancer Screening - 23-Year Follow-up.,"Roobol Monique J, de Vos Ivo I, M&#xe5;nsson Marianne, Godtman Rebecka A, Talala Kirsi M",The New England journal of medicine,2025 10,10.1056/NEJMoa2503223,"The European Randomized Study of Screening for Prostate Cancer (ERSPC) was initiated in 1993 to assess the effect of prostate-specific antigen (PSA) testing on prostate cancer mortality. Because deaths from prostate cancer are expected to rise worldwide owing to increased life expectancy and population growth, a final analysis of the long-term outcomes of prostate cancer screening is essential to understanding the benefits and harms of PSA testing.",Original Article
41160818,Trastuzumab Deruxtecan plus Pertuzumab for HER2-Positive Metastatic Breast Cancer.,"Tolaney Sara M, Jiang Zefei, Zhang Qingyuan, Barroso-Sousa Romualdo, Park Yeon Hee",The New England journal of medicine,2025 10,10.1056/NEJMoa2508668,Trastuzumab deruxtecan has shown efficacy in patients with previously treated human epidermal growth factor receptor 2 (HER2)-positive advanced or metastatic breast cancer. The efficacy and safety of trastuzumab deruxtecan in patients with no previous therapy for HER2-positive advanced or metastatic breast cancer are unclear.,Correspondence
41160817,"Updated Evidence for Covid-19, RSV, and Influenza Vaccines for 2025-2026.","Scott Jake, Abers Michael S, Marwah Harleen K, McCann Nicole C, Meyerowitz Eric A",The New England journal of medicine,2025 12,10.1056/NEJMsa2514268,"Changes in the vaccine advisory process in the United States have disrupted immunization guidance, which reinforces the need for independent evidence review to inform decisions regarding immunization for respiratory viruses during the 2025-2026 season.",Original Article
41159889,A Pragmatic Trial of Glucocorticoids for Community-Acquired Pneumonia.,"Lucinde Ruth K, Gathuri Henry, Mwaniki Paul, Orindi Benedict, Otieno Edwin O",The New England journal of medicine,2025 12,10.1056/NEJMoa2507100,Adjunctive glucocorticoids may reduce mortality among patients with severe community-acquired pneumonia (CAP) in well-resourced settings. Whether these drugs are beneficial in low-resource settings with limited diagnostic and treatment facilities is unclear.,Correspondence
41159885,Deferring Arterial Catheterization in Critically Ill Patients with Shock.,"Muller Gr&#xe9;goire, Contou Damien, Ehrmann Stephan, Martin Ma&#xeb;lle, Andreu Pascal",The New England journal of medicine,2025 11,10.1056/NEJMoa2502136,"In patients with shock, whether noninvasive blood-pressure monitoring is an effective alternative to the recommended use of an arterial catheter is uncertain.",Original Article
41159880,Selective Decontamination of the Digestive Tract during Ventilation in the ICU.,"Cuthbertson Brian H, Billot Laurent, Campbell Marion K, Daneman Nick, Davis Joshua S",The New England journal of medicine,2025 10,10.1056/NEJMoa2506398,"Whether selective decontamination of the digestive tract (SDD) reduces mortality among patients undergoing mechanical ventilation and whether it adversely affects microbial ecology in the intensive care unit (ICU) remain unclear. In an earlier analysis of data from Australia, SDD did not result in a lower incidence of in-hospital death than standard care, but data from the full international trial are needed.",Original Article
41159879,Immediate or Deferred Nonculprit-Lesion PCI in Myocardial Infarction.,"Nijveldt Robin, Maeng Michael, Beijnink Casper W H, Piek Jan J, Al-Lamee Rasha K",The New England journal of medicine,2025 10,10.1056/NEJMoa2512918,The preferred timing of treatment of nonculprit lesions in patients with ST-segment elevation myocardial infarction (STEMI) remains uncertain. A comparison of immediate percutaneous coronary intervention (PCI) guided by instantaneous wave-free ratio (iFR) and deferred PCI guided by cardiac stress magnetic resonance imaging (MRI) in patients with STEMI and multivessel disease is warranted.,Original Article
41144631,Transcatheter or Surgical Aortic-Valve Replacement in Low-Risk Patients at 7 Years.,"Leon Martin B, Mack Michael J, Pibarot Philippe, Hahn Rebecca T, Thourani Vinod H",The New England journal of medicine,2025 10,10.1056/NEJMoa2509766,"Five-year data from the PARTNER 3 trial showed that among low-risk patients with severe, symptomatic aortic stenosis, outcomes were similar among patients who had undergone transcatheter aortic-valve replacement (TAVR) and those who had undergone surgical aortic-valve replacement. Longer-term assessments of clinical outcomes and valve durability are needed.",Original Article
41124644,Tirzepatide vs. Semaglutide for Obesity Treatment. Reply.,Aronne Louis J,The New England journal of medicine,2025 10,10.1056/NEJMc2510962,,Correspondence
41124643,Tirzepatide vs. Semaglutide for Obesity Treatment.,"Abdullayev Nuran, Sanduleanu Sebastian",The New England journal of medicine,2025 10,10.1056/NEJMc2510962,,Correspondence
41124642,Tirzepatide vs. Semaglutide for Obesity Treatment.,"Muskiet Marcel H A, Winter Elizabeth M, Rensen Patrick C N",The New England journal of medicine,2025 10,10.1056/NEJMc2510962,,Correspondence
41124641,Perioperative Durvalumab in Gastric Cancer. Reply.,"Janjigian Yelena Y, Heilbron Eric, Tabernero Josep",The New England journal of medicine,2025 10,10.1056/NEJMc2511566,,Correspondence
41124640,Perioperative Durvalumab in Gastric Cancer.,Hoeppner Jens,The New England journal of medicine,2025 10,10.1056/NEJMc2511566,,Correspondence
41124639,Perioperative Durvalumab in Gastric Cancer.,Li Shenglong,The New England journal of medicine,2025 10,10.1056/NEJMc2511566,,Correspondence
41124637,Resurgence of Zoonotic Highly Pathogenic Avian Influenza A(H5N1) Virus in Cambodia.,"Siegers Jurre Y, Xie Ruopeng, Edwards Kimberly M, Byrne Alexander M P, Hu Shu",The New England journal of medicine,2025 11,10.1056/NEJMc2504302,,Correspondence
41124632,Common Diseases in Clinical Cohorts - Not Always What They Seem.,"Rahimov Fedik, Jacobs Benjamin M, Lee John S, Mahi Naim A, Blumenfeld Andrew",The New England journal of medicine,2025 10,10.1056/NEJMoa2405459,"Misdiagnosis or underdiagnosis of rare diseases in patients with diagnoses of common diseases can lead to delayed or inappropriate treatments, thereby complicating the management of both rare and common conditions. Despite advances in molecular diagnostic techniques, the effect of rare diseases on the diagnosis of common diseases in research and clinical trials has not been comprehensively investigated.",Correspondence
41124233,"Sacituzumab Govitecan in Untreated, Advanced Triple-Negative Breast Cancer.","Cort&#xe9;s Javier, Punie Kevin, Barrios Carlos, Hurvitz Sara A, Schneeweiss Andreas",The New England journal of medicine,2025 11,10.1056/NEJMoa2511734,"Patients with previously untreated, locally advanced, unresectable or metastatic triple-negative breast cancer who are not candidates for inhibitors of programmed cell death protein 1 (PD-1) or programmed death ligand 1 (PD-L1) have limited treatment options.",Correspondence
41124220,"Sacituzumab Tirumotecan in EGFR-TKI-Resistant, EGFR-Mutated Advanced NSCLC.","Fang Wenfeng, Wu Lin, Meng Xiangjiao, Yao Yu, Zuo Wei",The New England journal of medicine,2025 12,10.1056/NEJMoa2512071,Sacituzumab tirumotecan (sac-TMT) is an antibody-drug conjugate targeting trophoblast cell-surface antigen 2 that has shown significant survival benefits in patients with EGFR-mutated non-small-cell lung cancer (NSCLC) that has progressed after epidermal growth factor receptor (EGFR) tyrosine kinase inhibitor (TKI) therapy and platinum-based chemotherapy.,Original Article
41124218,Belzutifan for Advanced Pheochromocytoma or Paraganglioma.,"Jimenez Camilo, Andreassen Mikkel, Durand Alice, Moog Sophie, Hendifar Andrew",The New England journal of medicine,2025 11,10.1056/NEJMoa2504964,"Pheochromocytoma and paraganglioma are neoplasms originating in the adrenal medulla and extraadrenal paraganglia, respectively. Most cases of metastatic pheochromocytoma and paraganglioma are driven by dysregulation of the hypoxia-inducible factor 2&#x3b1; (HIF-2&#x3b1;) pathway. Belzutifan is a HIF-2&#x3b1; inhibitor that may provide antitumor activity in patients with advanced pheochromocytoma or paraganglioma.",Correspondence
41124210,Disitamab Vedotin plus Toripalimab in HER2-Expressing Advanced Urothelial Cancer.,"Sheng Xinan, Zeng Gongqian, Zhang Cuijian, Zhang Qingyun, Bian Jiasheng",The New England journal of medicine,2025 12,10.1056/NEJMoa2511648,Human epidermal growth factor receptor 2 (HER2)-directed antibody-drug conjugate monotherapy has shown preliminary clinical efficacy in patients with chemotherapy-refractory HER2-positive locally advanced or metastatic urothelial cancer. Previous data showed promising antitumor activity and safety of HER2-specific disitamab vedotin as monotherapy and when combined with programmed cell death protein 1 (PD-1)-directed immunotherapy in this cancer.,Correspondence
41124204,ctDNA-Guided Adjuvant Atezolizumab in Muscle-Invasive Bladder Cancer.,"Powles Thomas, Kann Ariel G, Castellano Daniel, Gross-Goupil Marine, Nishiyama Hiroyuki",The New England journal of medicine,2025 12,10.1056/NEJMoa2511885,"Patients with muscle-invasive bladder cancer have varied outcomes after cystectomy. Circulating tumor DNA (ctDNA)-based detection of molecular residual disease may identify patients at high risk for recurrence after cystectomy who can benefit from adjuvant immunotherapy, thus sparing patients at lower risk from unnecessary treatment burden.",Original Article
41124203,Subretinal Photovoltaic Implant to Restore Vision in Geographic Atrophy Due to AMD.,"Holz Frank G, Le Mer Yannick, Muqit Mahiul M K, Hattenbach Lars-Olof, Cusumano Andrea",The New England journal of medicine,2025 11,10.1056/NEJMoa2501396,Geographic atrophy due to age-related macular degeneration (AMD) is the leading cause of irreversible blindness and affects more than 5 million persons worldwide. No therapies to restore vision in such persons currently exist. The photovoltaic retina implant microarray (PRIMA) system combines a subretinal photovoltaic implant and glasses that project near-infrared light to the implant in order to restore sight to areas of central retinal atrophy.,Correspondence
41124201,Improved Survival with Enzalutamide in Biochemically Recurrent Prostate Cancer.,"Shore Neal D, Luz Murilo de Almeida, De Giorgi Ugo, Gleave Martin, Gotto Geoffrey T",The New England journal of medicine,2025 10,10.1056/NEJMoa2510310,"In the phase 3 EMBARK trial, enzalutamide plus leuprolide and enzalutamide monotherapy were associated with longer metastasis-free survival than leuprolide alone among patients with biochemically recurrent prostate cancer. The final analysis of overall survival has not been reported.",Original Article
41124198,Nivolumab for Resected Stage III or IV Melanoma at 9 Years.,"Ascierto Paolo A, Del Vecchio Michele, Merelli Barbara, Gogas Helen, Arance Ana M",The New England journal of medicine,2025 10,10.1056/NEJMoa2504966,"In the CheckMate 238 trial, patients with resected stage IIIB-C or stage IV melanoma who were treated with nivolumab had longer recurrence-free survival than those who received ipilimumab. Data were needed on longer-term survival.",Original Article
41104938,Survival with Osimertinib plus Chemotherapy in EGFR-Mutated Advanced NSCLC.,"J&#xe4;nne Pasi A, Planchard David, Kobayashi Kunihiko, Yang James Chih-Hsin, Liu Ying",The New England journal of medicine,2025 12,10.1056/NEJMoa2510308,The primary analysis of this trial showed that first-line treatment with osimertinib plus chemotherapy with a platinum-based agent and pemetrexed led to significantly longer progression-free survival than osimertinib monotherapy among patients with epidermal growth factor receptor (EGFR)-mutated advanced non-small-cell lung cancer (NSCLC). Results from the planned final analysis of overall survival are needed.,Original Article
41104928,Sevabertinib in Advanced HER2-Mutant Non-Small-Cell Lung Cancer.,"Le Xiuning, Kim Tae Min, Loong Herbert H, Prelaj Arsela, Goh Boon Cher",The New England journal of medicine,2025 11,10.1056/NEJMoa2511065,"HER2 gene mutations occur in 2 to 4% of patients with non-small-cell lung cancer (NSCLC). Sevabertinib is an oral, reversible tyrosine kinase inhibitor that has shown anti-HER2 activity in preclinical models.",Correspondence
41092342,More about the Phase 2a Study of Baxdrostat in Primary Aldosteronism. Reply.,"Turcu Adina F, Freeman Mason W, Brown Morris J",The New England journal of medicine,2025 10,10.1056/NEJMc2512324,,Correspondence
41092341,More about the Phase 2a Study of Baxdrostat in Primary Aldosteronism.,"Carling Tobias, Scholl Ute I",The New England journal of medicine,2025 10,10.1056/NEJMc2512324,,Correspondence
41092340,Competency-Based Medical Education at the Front Lines of Patient Care. Reply.,"Cooper Dawn, Holmboe Eric S",The New England journal of medicine,2025 10,10.1056/NEJMc2512926,,Correspondence
41092339,Competency-Based Medical Education at the Front Lines of Patient Care.,"Yauy K&#xe9;vin, Roubille Camille",The New England journal of medicine,2025 10,10.1056/NEJMc2512926,,Correspondence
41092338,Competency-Based Medical Education at the Front Lines of Patient Care.,Meyer George W,The New England journal of medicine,2025 10,10.1056/NEJMc2512926,,Correspondence
41092337,Competency-Based Medical Education at the Front Lines of Patient Care.,"Iyer Alexander A, Dubosh Nicole M, Schwartzstein Richard M",The New England journal of medicine,2025 10,10.1056/NEJMc2512926,,Correspondence
41092336,BCMA T-Cell Engager Therapy in Patients with Refractory Autoimmune Disease.,"Bucci Laura, B&#xf6;ltz Sebastian, Hagen Melanie, Tur Carlo, N&#xf6;thling Danae-Mona",The New England journal of medicine,2025 10,10.1056/NEJMc2506740,,Correspondence
41092331,Mass Administration of Azithromycin to Infants in Mali to Reduce Mortality.,"Haidara Fadima Cheick, Adubra Laura, Abdou Mahamadou, Alber Dagmar, Ashorn Ulla",The New England journal of medicine,2025 10,10.1056/NEJMoa2504644,"Mass administration of azithromycin to children 1 to 59 months of age has been shown to reduce mortality among infants and children in this age group in some areas of sub-Saharan Africa. The largest effects have appeared to be among infants younger than 12 months of age, within 3 months after treatment; this observation motivated the design of the current trial.",Original Article
41092330,Long-Term Safety and Efficacy of Gene Therapy for Adenosine Deaminase Deficiency.,"Booth Claire, Masiuk Katelyn, Vazouras Konstantinos, Fernandes Augustine, Xu-Bayford Jinhua",The New England journal of medicine,2025 10,10.1056/NEJMoa2502754,Severe combined immunodeficiency (SCID) due to adenosine deaminase (ADA) deficiency (ADA-SCID) is a life-threatening inborn error of immunity for which lentiviral gene therapy has been investigated in clinical trials.,Correspondence
41092329,A Phase 3 Trial of Telitacicept for Systemic Lupus Erythematosus.,"van Vollenhoven Ronald F, Wang Li, Merrill Joan T, Liu Yi, Bao Chunde",The New England journal of medicine,2025 10,10.1056/NEJMoa2414719,"Telitacicept, a new dual inhibitor of the cytokines B-lymphocyte stimulator (BLyS) and APRIL (a proliferation-inducing ligand), showed efficacy in adults with active systemic lupus erythematosus (SLE) in a phase 2b trial when added to standard therapy.",Correspondence
41092328,Sentinel-Lymph-Node Biopsy Alone or with Lymphadenectomy in Cervical Cancer.,"Tu Hua, Huang He, Li Yanfang, Chen Xiaojun, Wang Chunyan",The New England journal of medicine,2025 10,10.1056/NEJMoa2506267,Limited data are available on survival outcomes after sentinel-lymph-node biopsy alone as compared with lymphadenectomy in cervical cancer.,Original Article
41091060,Toward Same-Day Genome Sequencing in the Critical Care Setting.,"Wojcik Monica H, Larkin Katie, Cipicchio Michelle, Doupnik Austin, Zhao Chen",The New England journal of medicine,2025 12,10.1056/NEJMc2512825,,Correspondence
41085057,DB-OTO Gene Therapy for Inherited Deafness.,"Valayannopoulos Vassili, Bance Manohar, Carvalho Daniela S, Greinwald John H, Harvey Steven A",The New England journal of medicine,2025 10,10.1056/NEJMoa2400521,"Genetic deficiency of otoferlin, a protein critical to synaptic transmission by the sensory hair cells of the ear, causes congenital deafness. Medicines to treat the condition are lacking; children typically receive cochlear implants. DB-OTO is a dual adeno-associated virus 1 gene therapy that delivers human OTOF complementary DNA (encoding otoferlin) regulated by a hair cell-specific promoter.",Correspondence
41061247,Case 17-2025: A Man with Respiratory Failure and Shock after Kidney Transplantation. Reply.,"Kotton Camille N, Safa Kassem, Sanders Alan M",The New England journal of medicine,2025 10,10.1056/NEJMc2510614,,Correspondence
41061246,Case 17-2025: A Man with Respiratory Failure and Shock after Kidney Transplantation.,"Glazier Alexandra K, Delmonico Francis L",The New England journal of medicine,2025 10,10.1056/NEJMc2510614,,Correspondence
41061245,Clearance of Squamous-Cell Carcinoma by Restoring T-Cell Receptor Signaling. Reply.,"Lisco Andrea, Starrett Gabriel J, Brownell Isaac",The New England journal of medicine,2025 10,10.1056/NEJMc2512150,,Correspondence
41061244,Clearance of Squamous-Cell Carcinoma by Restoring T-Cell Receptor Signaling.,"Gupta Khushi, Tognaccini Chiara, Wu Jashin J",The New England journal of medicine,2025 10,10.1056/NEJMc2512150,,Correspondence
41061243,Diphtheria Outbreak among Migrants in Europe. Reply.,"Hoefer Andreas, Brisse Sylvain",The New England journal of medicine,2025 11,10.1056/NEJMc2510099,,Correspondence
41061242,Diphtheria Outbreak among Migrants in Europe.,"Georgakopoulou Theano, Tsiodras Sotirios",The New England journal of medicine,2025 11,10.1056/NEJMc2510099,,Correspondence
41061241,Diphtheria Outbreak among Migrants in Europe.,"Brohi Fareeda, Saif Misbah",The New England journal of medicine,2025 11,10.1056/NEJMc2510099,,Correspondence
41061240,Weekly Fixed-Dose Insulin Efsitora in Type 2 Diabetes. Reply.,"Rosenstock Julio, Carr Molly C, Child Christopher J",The New England journal of medicine,2025 10,10.1056/NEJMc2511881,,Correspondence
41061239,Weekly Fixed-Dose Insulin Efsitora in Type 2 Diabetes.,"Samajdar Shambo S, Joshi Shashank R, Mukherjee Shatavisa",The New England journal of medicine,2025 10,10.1056/NEJMc2511881,,Correspondence
41061238,Weekly Fixed-Dose Insulin Efsitora in Type 2 Diabetes.,"Khan Hamed, Adnan Filza",The New England journal of medicine,2025 10,10.1056/NEJMc2511881,,Correspondence
41061237,Specificity of CRISPR-Cas9 Editing in Exagamglogene Autotemcel - Update.,"Yen Angela, Boitano Tony, Zappala Zachary, Mahajan Sudipta, Willems Thomas",The New England journal of medicine,2025 10,10.1056/NEJMc2503294,,Correspondence
41061233,Randomized Trial of Targeted Indoor Spraying to Prevent Aedes-Borne Diseases.,"Dean Natalie E, Crisp Amy M, Che-Mendoza Azael, Kirstein Oscar D, Barrera-Fuentes Gloria A",The New England journal of medicine,2025 10,10.1056/NEJMoa2501069,"Targeted indoor residual spraying focuses insecticide applications on common resting surfaces of Aedes aegypti mosquitoes (an arboviral disease vector) in houses, such as exposed lower sections of walls and under furniture.",Correspondence
41061231,Association of 2024-2025 Covid-19 Vaccine with Covid-19 Outcomes in U.S. Veterans.,"Cai Miao, Xie Yan, Al-Aly Ziyad",The New England journal of medicine,2025 10,10.1056/NEJMoa2510226,"Amid the declining clinical severity of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection and diminishing public uptake of annual coronavirus disease 2019 (Covid-19) vaccines, contemporary evidence on vaccine effectiveness against clinically relevant outcomes is needed.",Original Article
41032722,Cyclophosphamide and Cyclosporin for GVHD Prevention. Reply.,"Curtis David J, Reynolds John, Hill Geoffrey R",The New England journal of medicine,2025 11,10.1056/NEJMc2511563,,Correspondence
41032721,Cyclophosphamide and Cyclosporin for GVHD Prevention.,Akahoshi Yu,The New England journal of medicine,2025 11,10.1056/NEJMc2511563,,Correspondence
